"nautical"|"port_destination"|"port_origin"|"code_origin"|"code_destination"|"lat_origin"|"long_origin"|"lat_dest"|"long_dest"|"name_origin"|"name_dest"
188|"5267592e-5d29-4fdf-8975-7ade3bd50b39"|c2f757c2-442b-4fce-9a53-4292baf0f776|"803"|"863"|-1.26835|"116.809"|"119.855865"|-0.71057415|Semayang|Pantoloan
388|"0467b2dd-8e24-4a3d-877f-0aa08e25ce95"|c2f757c2-442b-4fce-9a53-4292baf0f776|"803"|"808"|-1.26835|"116.809"|"117.59746"|"3.3301706"|Semayang|Tarakan
326|"3e8f594a-bf5a-43ff-aeb5-2bdcc285d0dd"|c04466cf-3aa8-41a0-8394-552373a24b41|"494"|"746"|-175.8223|"30.790016"|"113.01363"|-2.319677|Tanjung Emas|Sampit
72|"5a409201-c60e-4023-8500-55f6997b7a74"|c04466cf-3aa8-41a0-8394-552373a24b41|"494"|"496"|-175.8223|"30.790016"|-5.834275|"110.44144"|Tanjung Emas|Legon Bajak, Karimun Jawa
446|a5e44d1c-a5e0-44de-831f-69aeb13500f7|c04466cf-3aa8-41a0-8394-552373a24b41|"494"|"773"|-175.8223|"30.790016"|-3.43229|"116.009"|Tanjung Emas|Samudera, Batulicin
220|"9b6f2f2e-69aa-47e7-b1b4-0426b88406d2"|"00739854-654f-469c-b5af-31680f7ae36e"|"662"|"687"|None|None|-8.341486|"122.987854"|Labuan Bajo|Larantuka
450|fffec38d-bd22-4058-bb40-00993fa56f62|"85c90424-c458-4045-8719-459d9074f3cf"|"694"|"950"|-8.22369|"124.515"|-7.98306|"131.292"|Kalabahi|Saumlaki
207|"1b6b1e35-570c-4a43-bc1a-9f7715cc2f08"|fffec38d-bd22-4058-bb40-00993fa56f62|"950"|"949"|-7.98306|"131.292"|-5.62852|"132.73883"|Saumlaki|Tual
65|"0c87bc40-0218-4bc1-bbd8-3dfff430a3d9"|ec8ec4a4-710f-410f-b2ad-7802b6bf0a39|"844"|"845"|"3.94"|"126.7"|"4.72422"|"127.088"|Lirung|Karatung
60|cc51f2f5-ed25-4e39-99ad-b107b987f853|"0c87bc40-0218-4bc1-bbd8-3dfff430a3d9"|"845"|"846"|"4.72422"|"127.088"|"5.54868"|"126.582"|Karatung|Miangas
231|"265e3742-f63d-47a8-941f-11effec8a68a"|"7d09ed71-36f8-40bf-996a-5a09bae5dc3d"|"835"|"941"|"1.4436483"|"125.20453"|"1.72"|"128.01"|Bitung|Tobelo
172|"9d79dfde-0237-4b7a-9a6d-61b918d04527"|"7d09ed71-36f8-40bf-996a-5a09bae5dc3d"|"835"|"841"|"1.4436483"|"125.20453"|"0.50442"|"123.06"|Bitung|Gorontalo
204|e5efe83c-6d0c-4b8c-8025-84ade2e12366|"72346087-6a6a-462b-a434-913d6f2e5ca9"|"942"|"928"|"0.78055"|"127.389"|-2.05|"125.98"|Ternate|Sanana
110|"9c1e061d-9b9f-404d-a4cc-c98db3337a64"|e5efe83c-6d0c-4b8c-8025-84ade2e12366|"928"|"951"|-2.05|"125.98"|-3.27|"127.09"|Sanana|Namlea
283|b2811ee3-48f4-41a3-b82a-bcd88ef3233c|"51eb8d94-2e63-49d4-b6ca-34d95a97f4af"|"923"|"946"|-5.3356404|"123.53382"|-3.6942|"128.177"|Wanci|Ambon
75|"13ae6ff9-3a38-42f4-bf51-ac03c0492d30"|b2811ee3-48f4-41a3-b82a-bcd88ef3233c|"946"|"952"|-3.6942|"128.177"|-3.328629|"128.91756"|Ambon|Amahai
126|"8ec21fb4-62a2-4587-8d66-353ea745bfe5"|fffec38d-bd22-4058-bb40-00993fa56f62|"950"|"957"|-7.98306|"131.292"|-7.15305|"131.714"|Saumlaki|Larat
136|"1b6b1e35-570c-4a43-bc1a-9f7715cc2f08"|"8ec21fb4-62a2-4587-8d66-353ea745bfe5"|"957"|"949"|-7.15305|"131.714"|-5.62852|"132.73883"|Larat|Tual
